Gene	IPA_BP
AC004951.5	0.00
AC004967.7	0.00
AC004980.7	0.00
AC004985.12	0.00
AC004987.9	0.00
AC004988.1	0.00
AC005003.1	0.00
AC005007.3	0.00
AC005008.2	0.00
AC005008.3	0.00
AC005009.1	0.00
AC005009.2	0.00
AC005013.1	0.00
AC005014.5	0.00
AC005017.2	0.00
AC005019.2	0.00
AC005033.6	0.00
AC005034.2	0.00
AC005034.3	0.00
AC005037.1	0.00
AC005037.3	0.00
AC005037.4	0.00
AC005040.3	0.00
AC005041.11	0.00
AC005042.2	0.00
AC005042.3	0.00
AC005042.4	0.00
AC005076.5	0.00
AC005077.12	0.00
AC005077.14	0.00
AC005077.5	0.00
AC005077.7	0.00
AC005077.8	0.00
AC005077.9	0.00
AC005082.1	0.00
AC005083.1	0.00
AC005086.3	0.00
AC005094.2	0.00
AC005102.1	0.00
AC005104.3	0.00
AC005154.6	0.00
AC005154.7	0.00
AC005162.4	0.00
AC005162.5	0.00
AC005176.1	0.00
AC005176.2	0.00
AC005176.3	0.00
AC005178.1	0.00
AC005197.2	0.00
AC005220.3	0.00
AC005224.2	0.00
AC005229.5	0.00
AC005229.7	0.00
AC005237.2	0.00
AC005237.4	0.00
AC005253.2	0.00
AC005253.4	0.00
AC005255.3	0.00
AC005255.5	0.00
AC005255.6	0.00
AC005262.2	0.00
AC005262.3	0.00
AC005262.4	0.00
AC005264.2	0.00
AC005280.1	0.00
AC005281.2	0.00
AC005300.5	0.00
AC005306.3	0.00
AC005324.6	0.00
AC005326.2	0.00
AC005329.7	0.00
AC005336.4	0.00
AC005336.5	0.00
AC005339.2	0.00
AC005351.1	0.00
AC005357.1	0.00
AC005358.1	0.00
AC005358.3	0.00
AC005363.9	0.00
AC005387.2	0.00
AC005387.3	0.00
AC005399.1	0.00
AC005477.1	0.00
AC005481.5	0.00
AC005484.5	0.00
AC005493.1	0.00
AC005517.3	0.00
AC005522.6	0.00
AC005523.2	0.00
AC005532.5	0.00
AC005534.6	0.00
AC005534.8	0.00
AC005537.2	0.00
AC005538.5	0.00
AC005539.2	0.00
AC005540.3	0.00
AC005544.1	0.00
AC005549.3	0.00
AC005550.3	0.00
AC005559.2	0.00
AC005562.1	0.00
AC005592.2	0.00
AC005594.3	0.00
AC005597.1	0.00
AC005606.1	0.00
AC005609.1	0.00
AC005609.2	0.00
AC005614.3	0.00
AC005614.5	0.00
AC005618.1	0.00
AC005625.1	0.00
AC005626.3	0.00
AC005682.5	0.00
AC005682.6	0.00
AC005682.7	0.00
AC005722.4	0.00
AC005730.2	0.00
AC005740.3	0.00
AC005740.4	0.00
AC005740.5	0.00
AC005740.6	0.00
AC005741.2	0.00
AC005754.7	0.00
AC005757.6	0.00
AC005758.1	0.00
AC005775.2	0.00
AC005776.1	0.00
AC005777.3	0.00
AC005779.2	0.00
AC005785.2	0.00
AC005786.7	0.00
AC005789.9	0.00
AC005794.1	0.00
AC005795.1	0.00
AC005822.1	0.00
AC005831.1	0.00
AC005841.1	0.00
AC005932.1	0.00
AC005944.2	0.00
AC005954.4	0.00
AC006001.1	0.00
AC006004.1	0.00
AC006014.7	0.00
AC006019.4	0.00
AC006022.4	0.00
AC006023.8	0.00
AC006024.4	0.00
AC006026.10	0.00
AC006026.12	0.00
AC006026.13	0.00
AC006026.9	0.00
AC006028.11	0.00
AC006033.22	0.00
AC006035.1	0.00
AC006042.6	0.00
AC006042.7	0.00
AC006042.8	0.00
AC006045.3	0.00
AC006050.2	0.00
AC006070.12	0.00
AC006077.4	0.00
AC006111.1	0.00
AC006115.3	0.00
AC006116.12	0.00
AC006116.13	0.00
AC006116.14	0.00
AC006116.17	0.00
AC006116.20	0.00
AC006116.22	0.00
AC006116.27	0.00
AC006126.3	0.00
AC006130.3	0.00
AC006133.3	0.00
AC006150.1	0.00
AC006153.3	0.00
AC006159.4	0.00
AC006159.5	0.00
AC006160.5	0.00
AC006262.10	0.00
AC006262.6	0.00
AC006277.2	0.00
AC006326.3	0.00
AC006326.5	0.00
AC006355.3	0.00
AC006369.2	0.00
AC006372.1	0.00
AC006372.6	0.00
AC006378.2	0.00
AC006390.4	0.00
AC006427.2	0.00
AC006435.1	0.00
AC006445.6	0.00
AC006445.7	0.00
AC006455.1	0.00
AC006460.2	0.00
AC006465.4	0.00
AC006466.5	0.00
AC006486.1	0.00
AC006486.9	0.00
AC006499.1	0.00
AC006499.2	0.00
AC006499.3	0.00
AC006499.4	0.00
AC006499.5	0.00
AC006499.6	0.00
AC006499.7	0.00
AC006499.8	0.00
AC006499.9	0.00
AC006509.4	0.00
AC006509.7	0.00
AC006538.4	0.00
AC006539.3	0.00
