geneId	geneSymbol	score	humanScore	mouseScore	fishScore	ppiScore	Candidate Matches		
1589	CYP21A2	0.957427108	0.957427108	0	0	0	FALSE		
1577	CYP3A5	0.957427108	0.957427108	0	0	0.504696086	FALSE		
129563	DIS3L2	0.957427108	0.957427108	0	0	0.500526277	FALSE		
9149	DYRK1B	0.957427108	0.957427108	0	0	0.50109413	FALSE		
1889	ECE1	0.957427108	0.957427108	0.514240382	0	0	FALSE		
1896	EDA	0.957427108	0.957427108	0.416240159	0	0	FALSE		
60401	EDA2R	0.957427108	0.957427108	0	0	0.500192829	FALSE		
1956	EGFR	0.957427108	0.957427108	0.700379308	0	0	FALSE		
2006	ELN	0.957427108	0.957427108	0.873857614	0	0	FALSE		
2022	ENG	0.957427108	0.957427108	0.483737777	0	0.506682298	FALSE		
5167	ENPP1	0.957427108	0.957427108	0	0	0.503874783	FALSE		
2057	EPOR	0.957427108	0.957427108	0.453517388	0	0.516568772	FALSE		
2072	ERCC4	0.957427108	0.957427108	0	0	0.504805744	FALSE		
2074	ERCC6	0.957427108	0.957427108	0	0	0.50503228	FALSE		
1161	ERCC8	0.957427108	0.957427108	0	0	0.502968864	FALSE		
2132	EXT2	0.957427108	0.957427108	0	0	0.536796749	FALSE		
2200	FBN1	0.957427108	0.957427108	0.475599242	0	0.521350594	FALSE		
2243	FGA	0.957427108	0.957427108	0.417029374	0	0.507035294	FALSE		
2263	FGFR2	0.957427108	0.957427108	0.514240382	0	0.503689838	FALSE		
2328	FMO3	0.957427108	0.957427108	0	0	0.500145041	FALSE		
2335	FN1	0.957427108	0.957427108	0.494209116	0	0.505865041	FALSE		
2301	FOXE3	0.957427108	0.957427108	0.531470459	0	0.503384884	FALSE		
80199	FUZ	0.957427108	0.957427108	0	0	0.500035626	FALSE		
2538	G6PC	0.957427108	0.957427108	0	0	0.501059074	FALSE		
23193	GANAB	0.957427108	0.957427108	0	0	0.504767344	FALSE		
140628	GATA5	0.957427108	0.957427108	0.9305098	0	0	FALSE		
2643	GCH1	0.957427108	0.957427108	0.431381082	0	0.503374913	FALSE		
2717	GLA	0.957427108	0.957427108	0.69849293	0	0	FALSE		
2778	GNAS	0.957427108	0.957427108	0	0	0.51832349	FALSE		
2784	GNB3	0.957427108	0.957427108	0	0	0.500886213	FALSE		
2719	GPC3	0.957427108	0.957427108	0	0	0.51318592	FALSE		
83550	GPR101	0.957427108	0.957427108	0	0	0.500000219	FALSE		
2982	GUCY1A1	0.957427108	0.957427108	0.827795347	0	0.504156692	FALSE		
3043	HBB	0.957427108	0.957427108	0	0	0.501158858	FALSE		
3081	HGD	0.957427108	0.957427108	0	0	0.500160813	FALSE		
3113	HLA-DPA1	0.957427108	0.957427108	0	0	0	FALSE		
3115	HLA-DPB1	0.957427108	0.957427108	0	0	0.500051692	FALSE		
3145	HMBS	0.957427108	0.957427108	0	0	0	FALSE		
60495	HPSE2	0.957427108	0.957427108	0	0	0.502649073	FALSE		
3291	HSD11B2	0.957427108	0.957427108	0.902295013	0	0	FALSE		
3425	IDUA	0.957427108	0.957427108	0.672028509	0	0.509663558	FALSE		
26160	IFT172	0.957427108	0.957427108	0.494209116	0	0.523480011	FALSE		
11020	IFT27	0.957427108	0.957427108	0	0	0.521014854	FALSE		
27130	INVS	0.957427108	0.957427108	0.414457538	0	0.527344611	FALSE		
9657	IQCB1	0.957427108	0.957427108	0	0	0.518527195	FALSE		
8516	ITGA8	0.957427108	0.957427108	0	0	0.504019749	FALSE		
3717	JAK2	0.957427108	0.957427108	0	0	0.51800104	FALSE		
3762	KCNJ5	0.957427108	0.957427108	0.528331768	0	0.500943578	FALSE		
3779	KCNMB1	0.957427108	0.957427108	0.825446783	0	0.506493167	FALSE		
284252	KCTD1	0.957427108	0.957427108	0	0	0.500103301	FALSE		
