Gene,O_GlcNAc_Score
PDXK,7.30270881965465
CNOT1,13.0434488124989
RBNS5,5.93768905062998
PRDX1,27.0509951612907
ALG5,0.256505292994757
CIA2B,0.256505292994757
TIAR,10.1581722592062
ECM29,5.85444033073665
PROF1,24.1425146684525
F162A,0.256505292994757
NRBF2,7.64413438489314
CHERP,2.30060221988461
HNRLL,1.81556051557612
NFYC,7.81244490250296
A9Z0R7,5.00078337653096
DESM,11.7910456699242
STX1B,4.21758895986899
TX264,0.256505292994757
DHC24,0.256505292994757
GPKOW,13.7672589992225
PP2AA,7.30270881965465
ANR17,24.132592453104
NSD2,4.63951990428558
TMEM9,5.13615579438006
MUC12,6.66157939344727
ATG4C,2.7583732876265
MN1,4.03266271462294
LACRT,6.59801358356152
CRIP2,5.83866385987412
RL18A,21.2552187275946
TBL2,2.5978359709491
ATN1,14.6291688781679
DDB1,7.63581486409416
SDCB1,2.7583732876265
SYF1,0.256505292994757
BRCC3,0.256505292994757
CE104,5.44897155748371
MYOME,6.70166601754392
EF1A2,2.14964778999635
HUWE1,15.551306448066
TLN2,5.53076402690684
UBXN4,7.34690063382865
RASN,0.256505292994757
3BP2,5.44897155748371
ENASE,4.03266271462294
FBW1A,4.21758895986899
APEX1,4.14857167273148
ALDH2,12.4331636356175
MRTFA,7.57983214711528
JAM1,9.53602706906418
ZN592,7.6125551652291
CNPY3,6.59801358356152
TMA16,1.81556051557612
SSBP,10.1581722592062
CERS2,7.51124513867548
FETUA,5.88588734801457
TXND5,13.3077261784261
RANB3,5.77664418245035
BGLR,14.5853129910378
ZNF91,4.21758895986899
PLXD1,2.7583732876265
SEP11,6.02537138555332
GMEB2,25.8018087604606
DDX20,2.7583732876265
TIGD4,4.03266271462294
NELFE,3.76448876791271
ANXA6,6.75821008362886
METH,4.03266271462294
DJC14,4.03266271462294
MYH1,6.66157939344727
VP37A,8.41408842147902
FPRP,0.256505292994757
POP1,5.83866385987412
JMJD6,7.64413438489314
TRA2B,12.5316716237018
PSMD6,10.8126492814008
FIL1L,5.09575508944034
DDX21,26.6772649514216
PSIP1,2.7405823506697
PKP1,5.00078337653096
A8K005,0.256505292994757
EFHD2,2.7583732876265
KMT2A,18.1566228517513
ZN185,8.92085784572493
ACTA,14.674132838359
G6PI,19.0861019356612
NDUF8,0.256505292994757
NCOR2,19.4603004698938
TSN6,0.256505292994757
DLDH,7.90903065990977
ADH6,4.21758895986899
YTHD2,2.88675020121461
UBF1,5.65841325975953
H2AV,13.1599482935714
MPZL1,0.256505292994757
SIPA1,5.22882612819184
PTPM1,0.256505292994757
MOC2B,2.7583732876265
MEP50,1.81556051557612
AAKG2,7.64868181564195
CFA74,5.09575508944034
RING1,8.59700787176245
COX15,0.256505292994757
FADD,2.7583732876265
SHC3,5.44897155748371
C1QBP,9.98546134800049
PTSS1,0.256505292994757
ATX2,27.6738793804431
HCN1,6.02077692453392
DDX50,10.2310694038172
SF3A1,17.5312180295668
TM245,5.13615579438006
MTA1,7.43708576739468
SC24B,27.386245380931
SP100,6.70166601754392
PEBB,3.62363587816758
DDX46,3.84407543042682
UBN1,17.7063738823675
ERC2,5.09575508944034
MPH6,0.256505292994757
H33,14.7659243817531
ELOA1,1.18152712808834
CADH1,16.3226070233043
SACS,4.21758895986899
UBB,7.75807623002151
PDXD1,4.03266271462294
S41A2,4.21758895986899
SENP6,2.7583732876265
NONO,19.5118895572813
CARL1,4.21758895986899
DCNL5,0.256505292994757
PPBT,5.13615579438006
ZN512,4.03266271462294
F241B,0.256505292994757
RS24,2.84992499795524
RPGF2,10.40220263139
DEND3,4.03266271462294
NDC1,5.14261079496257
LARP4,1.81556051557612
ZN362,7.67667079009732
ZYX,18.3787118899148
NCF1B,0
KANK2,5.09575508944034
PLS1,5.44897155748371
SERPH,12.9147888996389
RHOH,5.44897155748371
PHLP,2.7583732876265
HSPB8,14.200489553918
CPVL,9.43403436565966
DPYD,4.63951990428558
KCD12,2.7583732876265
DECR2,0.256505292994757
DDHD1,5.77664418245035
PSMF1,0.256505292994757
B3AT,7.30609548403718
TRUB1,1.81556051557612
TM87B,4.21758895986899
HNRH1,27.0874588570061
PKHM1,4.03266271462294
PIN4,0.256505292994757
UNC80,5.22882612819184
VAV2,6.66157939344727
IRAK1,5.77664418245035
SH3R2,5.44897155748371
PCKGM,2.14964778999635
IF6,5.18269110074894
KCTD5,4.21758895986899
TM9S3,0.256505292994757
IGHG1,5.00078337653096
EPB42,12.8687967981733
PCLO,14.9346099452206
ZFHX3,18.8221222512279
RYR2,5.09575508944034
MOT2,1.60851189807766
RRBP1,7.04907950714403
USF3,4.21758895986899
LOXH1,5.44897155748371
CIP4,0.256505292994757
ACACA,2.30060221988461
ZEB1,2.7583732876265
SH3R1,13.1224111329077
NCKP5,4.03266271462294
STX17,5.09575508944034
PTOV1,5.19708064370721
SFXN3,0.256505292994757
TACD2,4.5577083887312
SAP,15.7300057123479
EFTS,0.256505292994757
TNR4,4.03266271462294
BCLF1,10.370343297693
GLOD4,6.84324997074877
ABCAD,4.03266271462294
RAB8B,4.03266271462294
B7Z2B5,0.256505292994757
ATG3,1.81556051557612
EX3L4,4.03266271462294
MTA70,0.256505292994757
VEZF1,25.1938809056287
ACADM,2.30060221988461
EIF3M,1.81556051557612
MPRI,3.87952259676307
FOXK1,11.50051048657
DB118,4.21758895986899
MICA1,4.03266271462294
PARP1,15.5988587442986
HMDH,5.83866385987412
ARI3A,5.44897155748371
RIFK,2.7583732876265
NNRE,3.61816026682875
PGP,1.81556051557612
